,STATE,DISTRICT,NAME,TRU,TOT_VAC,VAC_1,VAC_2,VAC_M,VAC_F,TOT_P,TOT_M,TOT_F,NON_WORK_M,NON_WORK_F,M_06,F_06,M_SC,F_SC,M_ST,F_ST,M_LIT,F_LIT,M_ILL,F_ILL,TOT_WORK_M,TOT_WORK_F,AVG_VAC
1572,21,387,19,1,551678,433866,117812,290957,260659,1648295,833170,815125,390272,465958,123582,116640,24273,23712,568026,573907,512099,394410,321071,420715,442898,349167,33.469615572455176
1573,21,387,19,0,66431,0,0,0,0,1372821,687671,685150,314042,357215,106233,101283,15453,15097,544172,550130,395314,300946,292357,384204,373629,327935,4.839013971959928
1574,21,387,19,2,20535,0,0,0,0,275474,145499,129975,76230,108743,17349,15357,8820,8615,23854,23777,116785,93464,28714,36511,69269,21232,7.4544240109774424
1575,21,388,8,1,729271,548963,180308,381762,347352,2050862,1054031,996831,483583,630909,144121,129386,65068,62503,327034,320281,723388,570528,330643,426303,570448,365922,35.559242893963614
1576,21,388,8,0,100810,0,0,0,0,1479826,758916,720910,333447,388293,108085,97951,42087,40212,306730,301094,489478,367962,269438,352948,425469,332617,6.812287390544564
1577,21,388,8,2,38889,0,0,0,0,571036,295115,275921,150136,242616,36036,31435,22981,22291,20304,19187,233910,202566,61205,73355,144979,33305,6.810253644253602
1578,21,390,12,1,1143400,853173,290227,611603,531684,4229917,2197365,2032552,1010893,1355453,288827,243178,199427,189846,310150,294217,1629223,1262659,568142,769893,1186472,677099,27.031263261194013
1579,21,390,12,0,134720,0,0,0,0,2887206,1500514,1386692,663355,796160,203933,171743,137458,130260,275373,261698,1080250,797312,420264,589380,837159,590532,4.666102799730951
1580,21,390,12,2,81994,0,0,0,0,1342711,696851,645860,347538,559293,84894,71435,61969,59586,34777,32519,548973,465347,147878,180513,349313,86567,6.106600750273142
1581,21,367,6,1,914479,674946,239533,482689,431666,2586258,1337560,1248698,603536,763081,179072,153053,241445,229450,64153,60684,1048892,830982,288668,417716,734024,485617,35.359155969744705
1582,21,367,6,0,175073,0,0,0,0,2037398,1055242,982156,464421,534380,143051,121919,202996,192141,59525,56651,818571,632187,236671,349969,590821,447776,8.59297005297934
1583,21,367,6,2,23814,0,0,0,0,548860,282318,266542,139115,228701,36021,31134,38449,37309,4628,4033,230321,198795,51997,67747,143203,37841,4.338811354443756
1584,21,364,1,1,617939,441069,176870,329403,288440,1813906,932334,881572,411972,633780,110372,100708,186244,177815,51359,48921,758977,652304,173357,229268,520362,247792,34.06675979901935
1585,21,364,1,0,41174,0,0,0,0,1094165,563933,530232,237259,327552,67347,61840,130266,123309,43797,41864,453144,376211,110789,154021,326674,202680,3.7630521904831538
1586,21,364,1,2,46313,0,0,0,0,719741,368401,351340,174713,306228,43025,38868,55978,54506,7562,7057,305833,276093,62568,75247,193688,45112,6.434675806991682
1587,21,369,32,1,552170,400630,151540,292278,259833,1197160,620302,576858,279949,347419,81686,70504,117867,111595,41403,39068,487703,382214,132599,194644,340353,229439,46.12332520298039
1588,21,369,32,0,82341,0,0,0,0,985747,511727,474020,226538,258637,67515,58068,103178,97009,39801,37603,400484,306272,111243,167748,285189,215383,8.353157554626085
1589,21,369,32,2,23378,0,0,0,0,211413,108575,102838,53411,88782,14171,12436,14689,14586,1602,1465,87219,75942,21356,26896,55164,14056,11.057976567193124
1590,21,366,2,1,983820,718811,265009,515338,468370,2888445,1480768,1407677,643191,1008932,160934,150457,259398,246976,205834,198294,1207104,1044771,273664,362906,837577,398745,34.060541225469066
1591,21,366,2,0,158894,0,0,0,0,1851158,950633,900525,392416,566641,105268,99284,178148,167908,187465,181165,761665,639030,188968,261495,558217,333884,8.583492062806092
1592,21,366,2,2,53964,0,0,0,0,1037287,530135,507152,250775,442291,55666,51173,81250,79068,18369,17129,445439,405741,84696,101411,279360,64861,5.202417460162906
1593,21,377,31,1,634023,477696,156327,322791,311175,1300774,668385,632389,276069,416470,67187,61714,96569,92261,76698,72809,552617,466841,115768,165548,392316,215919,48.74197977511851
1594,21,377,31,0,142090,0,0,0,0,877474,451874,425600,174791,241905,45798,42426,59201,55688,64327,60763,365198,299884,86676,125716,277083,183695,16.193072387329995
1595,21,377,31,2,31386,0,0,0,0,423300,216511,206789,101278,174565,21389,19288,37368,36573,12371,12046,187419,166957,29092,39832,115233,32224,7.4145995747696665
1596,21,365,17,1,2769385,2040866,728519,1451199,1317711,4653570,2384975,2268595,1050764,1734246,257438,239649,439205,428508,223566,214005,1959220,1714588,425755,554007,1334211,534349,59.51097759354646
1597,21,365,17,0,206553,0,0,0,0,1474811,758357,716454,302334,424478,84973,79990,119694,114368,102275,97879,589827,483152,168530,233302,456023,291976,14.005387809014172
